n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.40632390976,,,,,,,,,,,,2017_May_09_1556,59.9912179451,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.871140003204,,,,,,,,,,2017_May_09_1556,59.9912179451,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.419908046722412, 1.6531691551208496, 1.9035439491271973, 10.568135976791382]",1,0,0,0,,,,2017_May_09_1556,59.9912179451,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23639798164367676, 0.6537270545959473, 0.9041330814361572, 1.3842041492462158]",1,0,0,0,,,,2017_May_09_1556,59.9912179451,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23722195625305176, 0.52040696144104, 0.8508520126342773, 1.153390884399414]",1,0,0,0,,,,2017_May_09_1556,59.9912179451,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.30339908599853516, 0.5534031391143799, 0.8698580265045166, 1.3505759239196777]",1,0,0,0,,,,2017_May_09_1556,59.9912179451,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,0,0,0,0,,,,,,,,,,,['y'],0,[8.617707014083862],2017_May_09_1556,59.9912179451,connectNodes,001,,
yellow,yellow,red,n,None,blue,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,0,1,1,1,,,,,,,,,,,['y'],0,[3.421151876449585],2017_May_09_1556,59.9912179451,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,1,0,2,0,,,,,,,,,,,['y'],0,[2.6550099849700928],2017_May_09_1556,59.9912179451,connectNodes,001,,
yellow,yellow,red,n,None,blue,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,1,1,3,1,,,,,,,,,,,['y'],0,[2.3844189643859863],2017_May_09_1556,59.9912179451,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,2,0,4,0,,,,,,,,,,,['y'],0,[2.137794017791748],2017_May_09_1556,59.9912179451,connectNodes,001,,
