n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,1.32791399956,,,,,,,2017_May_08_1540,59.9257340513,connectNodes,001,,
red,blue,red,d,red,a,b,LOC11,c,LOC20,blue,LOC6,LOC1,LOC2,LOC3,LOC4,0,0,0,1,,,"['a', 'a', 'a', 'a']","[25.623610973358154, 25.9736008644104, 26.306456804275513, 26.753366947174072]",1,0,0,0,2017_May_08_1540,59.9257340513,connectNodes,001,,
green,yellow,blue,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,1,1,2,,,"['a', 'a', 'a', 'a']","[7.888389825820923, 8.238545894622803, 8.655263900756836, 9.122174978256226]",1,0,0,0,2017_May_08_1540,59.9257340513,connectNodes,001,,
blue,yellow,blue,d,red,a,b,LOC5,c,LOC17,yellow,LOC10,LOC15,LOC14,LOC13,LOC12,0,2,2,0,,,"['a', 'a', 'a', 'a']","[5.053782939910889, 5.320765972137451, 5.771252155303955, 6.071190118789673]",1,0,0,0,2017_May_08_1540,59.9257340513,connectNodes,001,,
