n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.14390206337,,,,,,,,,2017_May_09_1733,59.9596581089,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.404351949692,,,,,,,2017_May_09_1733,59.9596581089,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.1042969226837158, 1.3709979057312012, 1.6041069030761719, 1.9173808097839355]",1,0,0,0,2017_May_09_1733,59.9596581089,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.32041406631469727, 0.5369470119476318, 0.9042890071868896, 1.1696970462799072]",1,0,0,0,2017_May_09_1733,59.9596581089,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.22055315971374512, 0.5368859767913818, 0.8204231262207031, 1.1368989944458008]",1,0,0,0,2017_May_09_1733,59.9596581089,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2377171516418457, 0.5382130146026611, 0.8505420684814453, 2.054206132888794]",1,0,0,0,2017_May_09_1733,59.9596581089,connectNodes,001,,
