n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.36808204651,,,,,,,,,,,,2017_May_09_1900,60.0838591842,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.321156024933,,,,,,,,,,2017_May_09_1900,60.0838591842,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.1211321353912354, 1.3336939811706543, 1.5705780982971191, 1.8371620178222656]",1,0,0,0,,,,2017_May_09_1900,60.0838591842,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18633103370666504, 0.38723087310791016, 0.621229887008667, 0.866879940032959]",1,0,0,0,,,,2017_May_09_1900,60.0838591842,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18365788459777832, 0.40445494651794434, 0.6669979095458984, 0.9206809997558594]",1,0,0,0,,,,2017_May_09_1900,60.0838591842,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.20423388481140137, 0.43730688095092773, 0.7372667789459229, 1.037306785583496]",1,0,0,0,,,,2017_May_09_1900,60.0838591842,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,y,0,2.72090101242,2017_May_09_1900,60.0838591842,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,1,1,0,,,,,,,,,,,n,0,4.10528302193,2017_May_09_1900,60.0838591842,connectNodes,001,,
