n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,5.87896513939,,,,,,,2017_May_08_1554,59.8766293928,connectNodes,001,,
red,blue,red,d,red,a,b,LOC11,c,LOC20,blue,LOC6,LOC1,LOC2,LOC3,LOC4,0,0,0,1,,,"['a', 'a', 'a', 'a']","[4.250714063644409, 4.751028060913086, 5.104678153991699, 8.271645069122314]",1,0,0,0,2017_May_08_1554,59.8766293928,connectNodes,001,,
green,yellow,blue,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,1,1,2,,,"['a', 'a', 'a', 'a']","[8.104794979095459, 8.571027040481567, 8.955565929412842, 9.86826205253601]",1,0,0,0,2017_May_08_1554,59.8766293928,connectNodes,001,,
blue,yellow,blue,d,red,a,b,LOC5,c,LOC17,yellow,LOC10,LOC15,LOC14,LOC13,LOC12,0,2,2,0,,,"['a', 'a', 'a', 'a']","[6.888839960098267, 7.435273885726929, 7.768646001815796, 8.222068071365356]",1,0,0,0,2017_May_08_1554,59.8766293928,connectNodes,001,,
