trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,key_res2.keys,key_res2.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,4.63435006142,,,2017_May_08_1746,59.9926766752,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,space,8.52181816101,2017_May_08_1746,59.9926766752,connectNodes,001,,
