n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.63462686539,,,,,,,,,,,,2017_May_09_1929,60.0020313951,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.671652078629,,,,,,,,,,2017_May_09_1929,60.0020313951,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.003330945968628, 1.2203199863433838, 1.4044818878173828, 1.6198840141296387]",1,0,0,0,,,,2017_May_09_1929,60.0020313951,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.15395188331604004, 0.6198840141296387, 0.8860950469970703, 1.1372499465942383]",1,0,0,0,,,,2017_May_09_1929,60.0020313951,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.21715092658996582, 0.42001795768737793, 0.6386029720306396, 0.9030900001525879]",1,0,0,0,,,,2017_May_09_1929,60.0020313951,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25008511543273926, 0.45456409454345703, 0.7045841217041016, 1.000452995300293]",1,0,0,0,,,,2017_May_09_1929,60.0020313951,connectNodes,001,,
