n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,5.98836708069,,,,,,,,,2017_May_09_1520,60.0643274686,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.48412585258,,,,,,,2017_May_09_1520,60.0643274686,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.5715289115905762, 2.0211129188537598, 2.7209529876708984, 3.184196949005127]",1,0,0,0,2017_May_09_1520,60.0643274686,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[1.2878470420837402, 4.4339141845703125, 8.921945095062256, 9.271655082702637]",1,0,0,0,2017_May_09_1520,60.0643274686,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.45096898078918457, 0.6712801456451416, 1.284553050994873, 2.0211410522460938]",1,0,0,0,2017_May_09_1520,60.0643274686,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.4041290283203125, 0.7040960788726807, 1.1373169422149658, 1.5174009799957275]",1,0,0,0,2017_May_09_1520,60.0643274686,connectNodes,001,,
