n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,5.27864789963,,,,,,,,,,,,2017_May_09_1902,60.0788674937,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28772687912,,,,,,,,,,2017_May_09_1902,60.0788674937,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[0.8669860363006592, 1.070862054824829, 1.254643201828003, 1.5213661193847656]",1,0,0,0,,,,2017_May_09_1902,60.0788674937,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.17130494117736816, 0.32060885429382324, 0.4719398021697998, 0.6340689659118652]",1,0,0,0,,,,2017_May_09_1902,60.0788674937,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.16703009605407715, 0.37072205543518066, 0.5838220119476318, 0.8206100463867188]",1,0,0,0,,,,2017_May_09_1902,60.0788674937,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18847322463989258, 0.4011571407318115, 0.6344811916351318, 0.9181761741638184]",1,0,0,0,,,,2017_May_09_1902,60.0788674937,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,y,0,1.90405106544,2017_May_09_1902,60.0788674937,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,1,1,0,,,,,,,,,,,y,1,1.05506396294,2017_May_09_1902,60.0788674937,connectNodes,001,,
