n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,0.810511112213,,,,,,,2017_May_08_1558,59.9822097137,connectNodes,001,,
red,blue,red,d,red,a,b,LOC11,c,LOC5,blue,LOC6,LOC1,LOC2,LOC3,LOC4,0,0,0,1,,,"['a', 'a', 'a', 'a']","[60.52742004394531, 60.760318994522095, 61.04367709159851, 61.54371404647827]",1,0,0,0,2017_May_08_1558,59.9822097137,connectNodes,001,,
blue,yellow,blue,d,red,a,b,LOC5,c,LOC17,yellow,LOC10,LOC15,LOC14,LOC13,LOC12,0,1,1,0,,,"['a', 'a', 'a', 'a']","[53.942604064941406, 54.15612006187439, 54.40592408180237, 54.86012101173401]",1,0,0,0,2017_May_08_1558,59.9822097137,connectNodes,001,,
green,yellow,blue,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,2,2,2,,,"['a', 'a', 'a', 'a']","[0.03779482841491699, 84.42971897125244, 84.57613492012024, 84.94618797302246]",1,0,0,0,2017_May_08_1558,59.9822097137,connectNodes,001,,
