n2col,n4col,n3col,corrAns4,corrAns2,corrAns3,corrAns1,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.corr,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.82459998131,,,,,,,,,,2017_May_09_2008,60.0918648332,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.303049087524,,,,,,,,2017_May_09_2008,60.0918648332,connectNodes,001,,
blue,red,green,b,d,a,c,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'b', 'c', 'c']",0,"[1.2361838817596436, 11.737221002578735, 14.701528072357178, 15.337316036224365]",1,1,1,0,2017_May_09_2008,60.0918648332,connectNodes,001,,
yellow,green,blue,a,c,b,d,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['d', 'd', 'd', 'd']",0,"[14.635410070419312, 15.556226968765259, 15.768829107284546, 16.089087963104248]",0,0,0,1,2017_May_09_2008,60.0918648332,connectNodes,001,,
red,blue,yellow,a,c,b,d,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['d', 'd', 'd', 'd']",0,"[0.2877938747406006, 0.8541159629821777, 1.1039140224456787, 1.4709548950195312]",0,0,0,1,2017_May_09_2008,60.0918648332,connectNodes,001,,
yellow,yellow,green,a,c,b,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['d', 'd', 'd', 'd']",0,"[1.0173358917236328, 1.3709678649902344, 1.603790044784546, 1.9371168613433838]",0,0,0,1,2017_May_09_2008,60.0918648332,connectNodes,001,,
