n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,key_resp_2.keys,key_resp_2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,3.60411500931,,,,,,,,,2017_May_08_1742,59.9934489728,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,space,3.23814105988,,,,,,,2017_May_08_1742,59.9934489728,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,"['a', 'a', 'a', 'a']","[2.3669509887695312, 2.7196621894836426, 3.036530017852783, 4.521666049957275]",1,0,0,0,2017_May_08_1742,59.9934489728,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,"['a', 'a', 'a', 'a']","[0.4374709129333496, 0.787402868270874, 1.104463815689087, 1.7210497856140137]",1,0,0,0,2017_May_08_1742,59.9934489728,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,"['a', 'a', 'a', 'a']","[0.4046921730041504, 0.7206141948699951, 1.1876211166381836, 1.8208541870117188]",1,0,0,0,2017_May_08_1742,59.9934489728,connectNodes,001,,
yellow,yellow,green,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,"['a', 'a', 'a', 'a']","[0.48741602897644043, 0.8873310089111328, 1.3370800018310547, 2.2703869342803955]",0,0,0,0,2017_May_08_1742,59.9934489728,connectNodes,001,,
