n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,0.767185926437,,,,,,,2017_May_08_1610,59.9847832181,connectNodes,001,,
green,yellow,blue,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,0,0,2,,,"['a', 'a', 'a', 'a']","[2.7679309844970703, 3.021416187286377, 3.4047460556030273, 4.17152214050293]",1,0,0,0,2017_May_08_1610,59.9847832181,connectNodes,001,,
blue,yellow,blue,d,red,a,b,LOC5,c,LOC17,yellow,LOC10,LOC15,LOC14,LOC13,LOC12,0,1,1,0,,,"['a', 'a', 'a', 'a']","[3.637679100036621, 3.8509020805358887, 4.204440116882324, 4.967719078063965]",1,0,0,0,2017_May_08_1610,59.9847832181,connectNodes,001,,
red,blue,red,d,red,a,b,LOC11,c,LOC5,blue,LOC6,LOC1,LOC2,LOC3,LOC4,0,2,2,1,,,"['a', 'a', 'a', 'a']","[5.288319826126099, 5.5047547817230225, 7.588210821151733, 8.204959869384766]",1,0,0,0,2017_May_08_1610,59.9847832181,connectNodes,001,,
