n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,8.65537691116,,,,,,,,,,,,,,2017_May_09_1646,60.0297694016,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.636941194534,,,,,,,,,,,,2017_May_09_1646,60.0297694016,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.1341190338134766, 1.286510944366455, 1.434216022491455, 1.6700129508972168]",1,0,0,0,,,,,,2017_May_09_1646,60.0297694016,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2542240619659424, 0.42079591751098633, 0.5546879768371582, 0.8705599308013916]",1,0,0,0,,,,,,2017_May_09_1646,60.0297694016,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25111985206604004, 0.5708889961242676, 0.8702549934387207, 1.234325885772705]",1,0,0,0,,,,,,2017_May_09_1646,60.0297694016,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3008720874786377, 0.6340301036834717, 0.9871881008148193, 1.4877629280090332]",1,0,0,0,,,,,,2017_May_09_1646,60.0297694016,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,['y'],0,[2.554396152496338],y,16.1563410759,2017_May_09_1646,60.0297694016,connectNodes,001,,
