n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.16083407402,,,,,,,,,2017_May_09_1532,60.1945777141,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.871268987656,,,,,,,2017_May_09_1532,60.1945777141,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.320835828781128, 1.6042609214782715, 1.92085599899292, 2.254053831100464]",1,0,0,0,2017_May_09_1532,60.1945777141,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2709178924560547, 0.5042538642883301, 0.8545398712158203, 1.1672558784484863]",1,0,0,0,2017_May_09_1532,60.1945777141,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23791217803955078, 0.48760414123535156, 0.8209841251373291, 1.1381211280822754]",1,0,0,0,2017_May_09_1532,60.1945777141,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2372739315032959, 0.5339369773864746, 0.8213319778442383, 1.1366338729858398]",1,0,0,0,2017_May_09_1532,60.1945777141,connectNodes,001,,
