n2col,n4col,n3col,corrAns4,corrAns2,corrAns3,corrAns1,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.41355609894,,,,,,,,,,,,2017_May_09_2012,60.0048641333,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.719482898712,,,,,,,,,,2017_May_09_2012,60.0048641333,connectNodes,001,,
blue,red,green,b,d,a,c,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'b', 'c', 'a']","[1.6867659091949463, 3.6533679962158203, 6.050709962844849, 7.68670392036438]",1,1,1,0,,,,2017_May_09_2012,60.0048641333,connectNodes,001,,
yellow,green,blue,a,c,b,d,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[1.719393014907837, 1.9693350791931152, 2.153639078140259, 2.3527040481567383]",1,0,0,0,,,,2017_May_09_2012,60.0048641333,connectNodes,001,,
red,blue,yellow,a,c,b,d,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2200331687927246, 0.46978306770324707, 0.7169051170349121, 0.9698362350463867]",1,0,0,0,,,,2017_May_09_2012,60.0048641333,connectNodes,001,,
yellow,yellow,green,a,c,b,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2337028980255127, 0.4868450164794922, 0.7671880722045898, 1.136530876159668]",1,0,0,0,,,,2017_May_09_2012,60.0048641333,connectNodes,001,,
yellow,yellow,green,,,,,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,y,1,1.68789410591,2017_May_09_2012,60.0048641333,connectNodes,001,,
