n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.20161604881,,,,,,,,,2017_May_09_1808,59.986155844,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35381603241,,,,,,,2017_May_09_1808,59.986155844,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.0705251693725586, 1.3873560428619385, 1.6373660564422607, 1.9553511142730713]",1,0,0,0,2017_May_09_1808,59.986155844,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2875480651855469, 0.503917932510376, 0.8508639335632324, 1.1709389686584473]",1,0,0,0,2017_May_09_1808,59.986155844,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2673799991607666, 0.5709121227264404, 0.9010560512542725, 1.2211339473724365]",1,0,0,0,2017_May_09_1808,59.986155844,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.271198034286499, 0.5542240142822266, 0.9044589996337891, 1.2707159519195557]",1,0,0,0,2017_May_09_1808,59.986155844,connectNodes,001,,
