n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.25885510445,,,,,,,,,,,,2017_May_09_1930,60.0448944065,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.387981891632,,,,,,,,,,2017_May_09_1930,60.0448944065,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[0.9050099849700928, 1.0554380416870117, 1.2049689292907715, 1.3340859413146973]",1,0,0,0,,,,2017_May_09_1930,60.0448944065,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.12168097496032715, 0.2842080593109131, 0.40509700775146484, 0.5375289916992188]",1,0,0,0,,,,2017_May_09_1930,60.0448944065,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.1554419994354248, 0.3198709487915039, 0.4701521396636963, 0.7040650844573975]",1,0,0,0,,,,2017_May_09_1930,60.0448944065,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3376150131225586, 0.5503818988800049, 0.7214767932891846, 1.0217030048370361]",1,0,0,0,,,,2017_May_09_1930,60.0448944065,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,y,1,0.838740110397,2017_May_09_1930,60.0448944065,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,1,1,1,,,,,,,,,,,n,1,1.18894314766,2017_May_09_1930,60.0448944065,connectNodes,001,,
