n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,0.717533826828,,,,,,,2017_May_08_1644,59.8816730246,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,"['a', 'a', 'a', 'a']","[42.89197897911072, 43.225430965423584, 43.72486686706543, 44.14139986038208]",1,0,0,0,2017_May_08_1644,59.8816730246,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,"['a', 'a', 'a', 'a']","[6.1550469398498535, 6.554699897766113, 6.821131944656372, 7.171399116516113]",1,0,0,0,2017_May_08_1644,59.8816730246,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,"['a', 'a', 'a', 'a']","[16.639001846313477, 16.984639883041382, 17.27250599861145, 28.40687394142151]",1,0,0,0,2017_May_08_1644,59.8816730246,connectNodes,001,,
yellow,yellow,green,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,"['a', 'a', 'a', 'a']","[0.25412702560424805, 1.5708940029144287, 1.837035894393921, 2.237452983856201]",0,0,0,0,2017_May_08_1644,59.8816730246,connectNodes,001,,
