n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.56282186508,,,,,,,,,,,,2017_May_09_1630,60.0589950227,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.700899839401,,,,,,,,,,2017_May_09_1630,60.0589950227,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.8548271656036377, 2.1008360385894775, 2.4374070167541504, 8.38815712928772]",1,0,0,0,,,,2017_May_09_1630,60.0589950227,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.4708249568939209, 0.7208130359649658, 1.0343458652496338, 1.4042069911956787]",1,0,0,0,,,,2017_May_09_1630,60.0589950227,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.26763081550598145, 0.5677549839019775, 0.8842358589172363, 1.220839023590088]",1,0,0,0,,,,2017_May_09_1630,60.0589950227,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2874150276184082, 0.5704951286315918, 1.0342931747436523, 1.5511510372161865]",1,0,0,0,,,,2017_May_09_1630,60.0589950227,connectNodes,001,,
