n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.73616194725,,,,,,,,,,,,2017_May_09_1831,59.9441476514,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.354336977005,,,,,,,,,,2017_May_09_1831,59.9441476514,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[4.4216930866241455, 7.521342039108276, 7.854916095733643, 8.271450996398926]",1,0,0,0,,,,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3206667900085449, 0.48724794387817383, 0.6374537944793701, 1.287489891052246]",1,0,0,0,,,,2017_May_09_1831,59.9441476514,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3043961524963379, 0.5673120021820068, 0.8009090423583984, 1.1194541454315186]",1,0,0,0,,,,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23461699485778809, 0.47148895263671875, 0.6845710277557373, 0.9712340831756592]",1,0,0,0,,,,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,y,0,2.47126817703,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,1,1,0,,,,,,,,,,,y,1,3.93785405159,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,1,0,2,1,,,,,,,,,,,y,0,1.01753592491,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,1,1,3,0,,,,,,,,,,,y,1,1.08728694916,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,2,0,4,1,,,,,,,,,,,n,1,20.7894189358,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,2,1,5,0,,,,,,,,,,,n,0,0.68726682663,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,3,0,6,0,,,,,,,,,,,y,1,2.88776898384,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,3,1,7,1,,,,,,,,,,,n,1,1.15402197838,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,4,0,8,0,,,,,,,,,,,y,1,1.05075097084,2017_May_09_1831,59.9441476514,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,4,1,9,1,,,,,,,,,,,n,1,0.650609970093,2017_May_09_1831,59.9441476514,connectNodes,001,,
