key_res2.keys,key_res2.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
space,3.26909184456,,,2017_May_08_1804,60.0081264057,connectNodes,001,,
,,space,31.8242659569,2017_May_08_1804,60.0081264057,connectNodes,001,,
