r4,n1col,n2col,n4col,r2,rs,r3,n3col,re,n1,n2,n3,n4,r1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,4.69477915764,,,,,,,2017_May_08_1116,60.0333780855,connectNodes,001,,
d,red,red,blue,b,LOC11,c,red,LOC20,LOC12,LOC13,LOC18,LOC19,a,0,0,0,1,,,"['a', 'a', 'a', 'a']","[11.172319889068604, 13.105772972106934, 15.322376012802124, 16.322789907455444]",1,0,0,0,2017_May_08_1116,60.0333780855,connectNodes,001,,
d,red,blue,yellow,b,LOC5,c,blue,LOC12,LOC10,LOC15,LOC14,LOC13,a,0,1,1,0,,,"['a', 'a', 'a', 'a']","[1.1508221626281738, 1.7835941314697266, 2.338088035583496, 2.854628086090088]",1,0,0,0,2017_May_08_1116,60.0333780855,connectNodes,001,,
d,green,green,yellow,b,LOC21,c,blue,LOC8,LOC22,LOC23,LOC18,LOC13,a,0,2,2,2,,,"['a', 'a', 'a', 'a']","[0.5871841907501221, 1.1171770095825195, 1.6878249645233154, 2.3042140007019043]",1,0,0,0,2017_May_08_1116,60.0333780855,connectNodes,001,,
