n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,8.8686029911,,,,,,,,,,,,2017_May_09_1602,59.9236792815,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.669756889343,,,,,,,,,,2017_May_09_1602,59.9236792815,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.184103012084961, 1.3508970737457275, 1.487328052520752, 1.8036470413208008]",1,0,0,0,,,,2017_May_09_1602,59.9236792815,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.26746702194213867, 0.41764402389526367, 0.5676121711730957, 0.8874111175537109]",1,0,0,0,,,,2017_May_09_1602,59.9236792815,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18683910369873047, 0.4535250663757324, 0.7042760848999023, 1.0703270435333252]",1,0,0,0,,,,2017_May_09_1602,59.9236792815,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3195688724517822, 0.6533670425415039, 0.9698679447174072, 1.336333990097046]",1,0,0,0,,,,2017_May_09_1602,59.9236792815,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,0,0,0,0,,,,,,,,,,,['n'],0,[868.2595989704132],2017_May_09_1602,59.9236792815,connectNodes,001,,
