n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,4.7908911705,,,,,,,,,,,,2017_May_09_1829,59.9057060548,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.319999933243,,,,,,,,,,2017_May_09_1829,59.9057060548,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[0.9873631000518799, 1.220339059829712, 1.4706170558929443, 1.8534889221191406]",1,0,0,0,,,,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.38414502143859863, 0.6702620983123779, 0.9370861053466797, 1.269963026046753]",1,0,0,0,,,,2017_May_09_1829,59.9057060548,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25333380699157715, 0.5008728504180908, 0.786301851272583, 1.1035058498382568]",1,0,0,0,,,,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23707890510559082, 0.5712299346923828, 1.1204869747161865, 1.5840120315551758]",1,0,0,0,,,,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,y,1,1.7869579792,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,1,1,1,,,,,,,,,,,n,1,2.60346102715,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,1,0,2,1,,,,,,,,,,,y,0,0.619861125946,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,1,1,3,0,,,,,,,,,,,y,1,5.53838896751,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,2,0,4,0,,,,,,,,,,,n,0,1.07112503052,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,2,1,5,1,,,,,,,,,,,y,0,1.50397896767,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,3,0,6,0,,,,,,,,,,,n,0,4.0382809639,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,3,1,7,1,,,,,,,,,,,n,1,0.467239141464,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,4,0,8,1,,,,,,,,,,,y,0,0.804039001465,2017_May_09_1829,59.9057060548,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,4,1,9,0,,,,,,,,,,,y,1,4.36768293381,2017_May_09_1829,59.9057060548,connectNodes,001,,
