n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,5.66179895401,,,,,,,,,2017_May_09_1547,59.9915611694,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.687559127808,,,,,,,2017_May_09_1547,59.9915611694,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.1709699630737305, 1.3839890956878662, 1.603605031967163, 1.9702119827270508]",1,0,0,0,2017_May_09_1547,59.9915611694,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25376105308532715, 0.5698530673980713, 0.9038660526275635, 1.2673029899597168]",1,0,0,0,2017_May_09_1547,59.9915611694,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.30287694931030273, 0.6532959938049316, 1.0693390369415283, 1.434027910232544]",1,0,0,0,2017_May_09_1547,59.9915611694,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3038201332092285, 0.6524810791015625, 1.0536510944366455, 1.4527101516723633]",1,0,0,0,2017_May_09_1547,59.9915611694,connectNodes,001,,
