n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.16730690002,,,,,,,,,2017_May_09_1738,59.9359243667,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.322174072266,,,,,,,2017_May_09_1738,59.9359243667,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.0546941757202148, 1.3540291786193848, 2.533653974533081, 3.455271005630493]",1,0,0,0,2017_May_09_1738,59.9359243667,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.33371686935424805, 0.5338578224182129, 0.9201128482818604, 1.2716138362884521]",1,0,0,0,2017_May_09_1738,59.9359243667,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.30080199241638184, 0.6339051723480225, 0.9840490818023682, 1.3208770751953125]",1,0,0,0,2017_May_09_1738,59.9359243667,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2840750217437744, 0.6841170787811279, 1.088163137435913, 1.750960111618042]",1,0,0,0,2017_May_09_1738,59.9359243667,connectNodes,001,,
