n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,4.52515482903,,,,,,,,,,,,2017_May_09_1823,60.0665639375,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.386340141296,,,,,,,,,,2017_May_09_1823,60.0665639375,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.053605079650879, 1.2208340167999268, 1.3698430061340332, 1.6541540622711182]",1,0,0,0,,,,2017_May_09_1823,60.0665639375,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.22066783905029297, 0.5339059829711914, 0.7876629829406738, 1.1038448810577393]",1,0,0,0,,,,2017_May_09_1823,60.0665639375,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25095415115356445, 0.4701972007751465, 0.7199389934539795, 1.0044801235198975]",1,0,0,0,,,,2017_May_09_1823,60.0665639375,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2507181167602539, 0.5505650043487549, 0.8368260860443115, 1.170889139175415]",1,0,0,0,,,,2017_May_09_1823,60.0665639375,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,y,0,7.88449716568,2017_May_09_1823,60.0665639375,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,1,1,0,,,,,,,,,,,n,0,2.72093677521,2017_May_09_1823,60.0665639375,connectNodes,001,,
