n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.90134811401,,,,,,,,,,,,,,2017_May_09_1642,60.0067527741,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.604444980621,,,,,,,,,,,,2017_May_09_1642,60.0067527741,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.304455041885376, 1.620398998260498, 1.9175701141357422, 2.284311056137085]",1,0,0,0,,,,,,2017_May_09_1642,60.0067527741,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3341031074523926, 0.48740601539611816, 0.6841659545898438, 1.0543360710144043]",1,0,0,0,,,,,,2017_May_09_1642,60.0067527741,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2870030403137207, 0.6343550682067871, 0.9872190952301025, 1.3373382091522217]",1,0,0,0,,,,,,2017_May_09_1642,60.0067527741,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.28714704513549805, 0.45391106605529785, 0.8708798885345459, 1.3710548877716064]",1,0,0,0,,,,,,2017_May_09_1642,60.0067527741,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,['y'],0,[3.0213170051574707],y,5.83792209625,2017_May_09_1642,60.0067527741,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,1,1,1,,,,,,,,,,,['n'],0,[17.16934895515442],y,1.42097496986,2017_May_09_1642,60.0067527741,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,1,0,2,0,,,,,,,,,,,['n'],0,[7.338896989822388],y,1.00421404839,2017_May_09_1642,60.0067527741,connectNodes,001,,
