trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,n2col,n4col,n3col,corrAns4,corrAns2,corrAns3,corrAns1,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,2.55730009079,,,2017_May_09_2010,60.0271920359,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.853338003159,2017_May_09_2010,60.0271920359,connectNodes,001,,
