n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.14181685448,,,,,,,,,,,,2017_May_09_1947,59.9584581186,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.555013179779,,,,,,,,,,2017_May_09_1947,59.9584581186,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[2.2870750427246094, 4.505427122116089, 4.78803014755249, 5.2709081172943115]",1,0,0,0,,,,2017_May_09_1947,59.9584581186,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.33429789543151855, 0.5219318866729736, 0.722294807434082, 1.0221819877624512]",1,0,0,0,,,,2017_May_09_1947,59.9584581186,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.16748499870300293, 0.33393096923828125, 0.5040891170501709, 0.9008150100708008]",1,0,0,0,,,,2017_May_09_1947,59.9584581186,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.17101502418518066, 0.3716928958892822, 0.7372148036956787, 1.1506409645080566]",1,0,0,0,,,,2017_May_09_1947,59.9584581186,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,y,1,1.38771009445,2017_May_09_1947,59.9584581186,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,1,1,1,,,,,,,,,,,n,1,1.22192978859,2017_May_09_1947,59.9584581186,connectNodes,001,,
