trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,6.5103290081,,,2017_May_09_1950,60.0593390229,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,space,0.37174987793,2017_May_09_1950,60.0593390229,connectNodes,001,,
