n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,2.31193995476,,,,,,,2017_May_08_1648,59.996967469,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,"['a', 'a', 'a', 'a']","[22.96961998939514, 23.286341190338135, 25.790167093276978, 26.323395013809204]",1,0,0,0,2017_May_08_1648,59.996967469,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,"['a', 'a', 'a', 'a']","[0.600398063659668, 0.8375210762023926, 31.587069034576416, 39.791603088378906]",1,0,0,0,2017_May_08_1648,59.996967469,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,"['a', 'a', 'a', 'a']","[0.20411896705627441, 0.8040330410003662, 1.070801019668579, 1.420814037322998]",1,0,0,0,2017_May_08_1648,59.996967469,connectNodes,001,,
yellow,yellow,green,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,"['a', 'a', 'a', 'a']","[2.251041889190674, 2.488132953643799, 9.739022970199585, 10.03860878944397]",0,0,0,0,2017_May_08_1648,59.996967469,connectNodes,001,,
