n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.57948184013,,,,,,,,,,,,2017_May_09_1944,60.0192894941,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33722615242,,,,,,,,,,2017_May_09_1944,60.0192894941,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.501249074935913, 1.7209630012512207, 1.9177699089050293, 2.1044468879699707]",1,0,0,0,,,,2017_May_09_1944,60.0192894941,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18708205223083496, 0.3843801021575928, 0.5677199363708496, 0.8203480243682861]",1,0,0,0,,,,2017_May_09_1944,60.0192894941,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.25396108627319336, 0.45406198501586914, 0.803631067276001, 1.0869531631469727]",1,0,0,0,,,,2017_May_09_1944,60.0192894941,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2535429000854492, 0.48407697677612305, 0.8038029670715332, 1.134207010269165]",1,0,0,0,,,,2017_May_09_1944,60.0192894941,connectNodes,001,,
