n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.74491596222,,,,,,,,,2017_May_09_1700,60.1121036708,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.354152917862,,,,,,,2017_May_09_1700,60.1121036708,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.2037320137023926, 1.4371249675750732, 1.703568935394287, 1.987278938293457]",1,0,0,0,2017_May_09_1700,60.1121036708,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23695898056030273, 0.43733692169189453, 0.7533979415893555, 1.0866868495941162]",1,0,0,0,2017_May_09_1700,60.1121036708,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.22147703170776367, 0.5508489608764648, 1.0508499145507812, 1.3873589038848877]",1,0,0,0,2017_May_09_1700,60.1121036708,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2535400390625, 0.6035110950469971, 1.0539300441741943, 2.033777952194214]",1,0,0,0,2017_May_09_1700,60.1121036708,connectNodes,001,,
