n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,space,9.45316505432,,,,,,,,,2017_May_09_1110,60.0471294284,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,space,0.920964956284,,,,,,,2017_May_09_1110,60.0471294284,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,"['a', 'a', 'a', 'a']","[15.638389825820923, 17.372473001480103, 18.306599855422974, 24.35710382461548]",1,0,0,0,2017_May_09_1110,60.0471294284,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,"['a', 'a', 'a', 'a']","[0.7557969093322754, 1.104273796081543, 1.804236888885498, 2.100785970687866]",1,0,0,0,2017_May_09_1110,60.0471294284,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,"['a', 'a', 'a', 'a']","[0.26734280586242676, 0.5874807834625244, 1.1708779335021973, 1.6377289295196533]",1,0,0,0,2017_May_09_1110,60.0471294284,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,"['a', 'a', 'a', 'a']","[0.3541090488433838, 0.8204939365386963, 1.303941011428833, 1.8209309577941895]",1,0,0,0,2017_May_09_1110,60.0471294284,connectNodes,001,,
