r4,n1col,n2col,n4col,r2,rs,r3,n3col,re,n1,n2,n3,n4,r1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,0.200526952744,,,,,,,2017_May_08_1118,60.0193753801,connectNodes,001,,
d,red,red,blue,b,LOC11,c,red,LOC20,LOC12,LOC13,LOC18,LOC19,a,0,0,0,1,,,"['a', 'a', 'a', 'a']","[2.171215772628784, 2.600937843322754, 2.9843099117279053, 3.4044628143310547]",1,0,0,0,2017_May_08_1118,60.0193753801,connectNodes,001,,
d,green,green,yellow,b,LOC21,c,blue,LOC8,LOC22,LOC23,LOC18,LOC13,a,0,1,1,2,,,"['a', 'a', 'a', 'a']","[0.4668850898742676, 0.8340530395507812, 1.2539780139923096, 1.7213010787963867]",1,0,0,0,2017_May_08_1118,60.0193753801,connectNodes,001,,
d,red,blue,yellow,b,LOC5,c,blue,LOC12,LOC10,LOC15,LOC14,LOC13,a,0,2,2,0,,,"['a', 'a', 'a', 'a']","[0.5207490921020508, 0.9040939807891846, 1.3707029819488525, 1.838057041168213]",1,0,0,0,2017_May_08_1118,60.0193753801,connectNodes,001,,
