n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,5.95114278793,,,,,,,,,2017_May_09_1758,60.0340655031,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.370028972626,,,,,,,2017_May_09_1758,60.0340655031,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.470120906829834, 1.75050687789917, 2.0529980659484863, 2.4218640327453613]",1,0,0,0,2017_May_09_1758,60.0340655031,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.3031740188598633, 0.4723930358886719, 0.6032471656799316, 0.9529001712799072]",1,0,0,0,2017_May_09_1758,60.0340655031,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2538719177246094, 0.4527709484100342, 0.7876110076904297, 1.1876001358032227]",1,0,0,0,2017_May_09_1758,60.0340655031,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2534499168395996, 0.5537128448486328, 0.8672690391540527, 1.3172879219055176]",1,0,0,0,2017_May_09_1758,60.0340655031,connectNodes,001,,
