n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,13.301804781,,,,,,,,,,,,,,2017_May_09_1645,60.0586510264,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.16977906227,,,,,,,,,,,,2017_May_09_1645,60.0586510264,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.1043009757995605, 1.2700138092041016, 1.4368698596954346, 1.7207398414611816]",1,0,0,0,,,,,,2017_May_09_1645,60.0586510264,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.1868901252746582, 0.33741092681884766, 0.6037509441375732, 0.9203081130981445]",1,0,0,0,,,,,,2017_May_09_1645,60.0586510264,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.26969313621520996, 0.5503499507904053, 0.8371210098266602, 1.1672940254211426]",1,0,0,0,,,,,,2017_May_09_1645,60.0586510264,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.30359601974487305, 0.6338798999786377, 1.0032289028167725, 1.6194870471954346]",1,0,0,0,,,,,,2017_May_09_1645,60.0586510264,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,['y'],0,[1.9346380233764648],y,10.3714640141,2017_May_09_1645,60.0586510264,connectNodes,001,,
