n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,5.88453102112,,,,,,,,,,,,2017_May_09_1853,60.0972031178,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.287804841995,,,,,,,,,,2017_May_09_1853,60.0972031178,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.1506609916687012, 1.3541910648345947, 1.5710289478302002, 1.8008091449737549]",1,0,0,0,,,,2017_May_09_1853,60.0972031178,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.20438599586486816, 0.4207589626312256, 0.6338698863983154, 0.9208559989929199]",1,0,0,0,,,,2017_May_09_1853,60.0972031178,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2005150318145752, 0.4507460594177246, 0.7210891246795654, 1.0010020732879639]",1,0,0,0,,,,2017_May_09_1853,60.0972031178,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2540469169616699, 0.467041015625, 0.7704849243164062, 1.1004209518432617]",1,0,0,0,,,,2017_May_09_1853,60.0972031178,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,y,0,7.0350279808,2017_May_09_1853,60.0972031178,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,1,1,0,,,,,,,,,,,n,0,4.25506210327,2017_May_09_1853,60.0972031178,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,1,0,2,1,,,,,,,,,,,y,0,2.37136602402,2017_May_09_1853,60.0972031178,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,1,1,3,0,,,,,,,,,,,n,0,0.937618017197,2017_May_09_1853,60.0972031178,connectNodes,001,,
