trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,n2col,n4col,n3col,corrAns4,corrAns2,corrAns3,corrAns1,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,8.6256082058,,,2017_May_09_2007,60.0279652224,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.303400993347,2017_May_09_2007,60.0279652224,connectNodes,001,,
