n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,18.2693018913,,,,,,,,,,,,2017_May_09_1908,60.0243571892,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.40456295013,,,,,,,,,,2017_May_09_1908,60.0243571892,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.037951946258545, 1.1710929870605469, 1.3045389652252197, 1.4838290214538574]",1,0,0,0,,,,2017_May_09_1908,60.0243571892,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18802881240844727, 0.3213508129119873, 0.43763279914855957, 0.684330940246582]",1,0,0,0,,,,2017_May_09_1908,60.0243571892,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.1710200309753418, 0.32047009468078613, 0.4709749221801758, 0.7672679424285889]",1,0,0,0,,,,2017_May_09_1908,60.0243571892,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.4207010269165039, 0.5874001979827881, 0.737800121307373, 1.087956190109253]",1,0,0,0,,,,2017_May_09_1908,60.0243571892,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,0,0,0,,,,,,,,,,,y,1,4.30499696732,2017_May_09_1908,60.0243571892,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,1,1,1,,,,,,,,,,,n,1,1.50477290154,2017_May_09_1908,60.0243571892,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,1,0,2,0,,,,,,,,,,,y,1,4.20503902435,2017_May_09_1908,60.0243571892,connectNodes,001,,
