n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.10004997253,,,,,,,,,,,,2017_May_09_1927,59.9117815107,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.334143877029,,,,,,,,,,2017_May_09_1927,59.9117815107,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.0875160694122314, 1.2545640468597412, 1.3872790336608887, 1.587341070175171]",1,0,0,0,,,,2017_May_09_1927,59.9117815107,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.20461606979370117, 0.36730504035949707, 0.4881300926208496, 0.6214809417724609]",1,0,0,0,,,,2017_May_09_1927,59.9117815107,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.15084600448608398, 0.31756114959716797, 0.4541010856628418, 0.7210581302642822]",1,0,0,0,,,,2017_May_09_1927,59.9117815107,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.18777108192443848, 0.35048913955688477, 0.5378439426422119, 0.8506951332092285]",1,0,0,0,,,,2017_May_09_1927,59.9117815107,connectNodes,001,,
