n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,resp3.keys,resp3.corr,resp3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,6.08586788177,,,,,,,,,,,,2017_May_09_1833,60.0539214774,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.370552062988,,,,,,,,,,2017_May_09_1833,60.0539214774,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.0880999565124512, 1.3507778644561768, 1.5703320503234863, 1.8508920669555664]",1,0,0,0,,,,2017_May_09_1833,60.0539214774,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2672719955444336, 0.4871048927307129, 0.9368329048156738, 1.253911018371582]",1,0,0,0,,,,2017_May_09_1833,60.0539214774,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.30377984046936035, 0.6036908626556396, 0.9702248573303223, 1.3535418510437012]",1,0,0,0,,,,2017_May_09_1833,60.0539214774,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[0.30401086807250977, 0.6202847957611084, 1.054157018661499, 1.4701528549194336]",1,0,0,0,,,,2017_May_09_1833,60.0539214774,connectNodes,001,,
yellow,yellow,red,,blue,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,n,,,,,0,0,0,1,,,,,,,,,,,y,0,13.9556121826,2017_May_09_1833,60.0539214774,connectNodes,001,,
yellow,yellow,green,,green,,,LOC16,,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,y,,,,,0,1,1,0,,,,,,,,,,,y,1,0.91724896431,2017_May_09_1833,60.0539214774,connectNodes,001,,
