trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,key_res2.keys,key_res2.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,3.24431800842,,,2017_May_08_1738,59.9682308652,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,space,6.67169594765,2017_May_08_1738,59.9682308652,connectNodes,001,,
