n2col,n4col,n3col,corrAns,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.15101504326,,,,,,,,,,,,2017_May_09_1534,60.0694027724,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.504191160202,,,,,,,,,,2017_May_09_1534,60.0694027724,connectNodes,001,,
blue,red,green,a,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,"['a', 'a', 'a', 'a']","[1.0178990364074707, 1.2049190998077393, 1.4009220600128174, 1.7373149394989014]",1,0,0,0,,,,2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,green,blue,b,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,"['a', 'a', 'a', 'a']","[0.2700469493865967, 0.4863770008087158, 0.9009799957275391, 1.2862200736999512]",1,0,0,0,,,,2017_May_09_1534,60.0694027724,connectNodes,001,,
red,blue,yellow,c,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,"['a', 'a', 'a', 'a']","[0.31745100021362305, 0.7376019954681396, 1.3700268268585205, 3.0675230026245117]",1,0,0,0,,,,2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,d,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,"['a', 'a', 'a', 'a']","[1.221092939376831, 1.6715290546417236, 2.1215600967407227, 2.60333514213562]",1,0,0,0,,,,2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,0,0,0,0,,,,,,,,,,,['y'],0,[10.33562183380127],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,n,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,0,1,1,1,,,,,,,,,,,['n'],0,[4.936928033828735],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,1,0,2,0,,,,,,,,,,,['n'],0,[1.3379299640655518],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,n,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,1,1,3,1,,,,,,,,,,,['y'],0,[2.7342429161071777],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,2,0,4,0,,,,,,,,,,,['y'],0,[7.384702920913696],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,n,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,2,1,5,1,,,,,,,,,,,['n'],0,[4.488139867782593],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,3,0,6,0,,,,,,,,,,,['n'],0,[0.8874650001525879],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,n,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,3,1,7,1,,,,,,,,,,,['y'],0,[1.6997649669647217],2017_May_09_1534,60.0694027724,connectNodes,001,,
yellow,yellow,green,y,None,green,None,None,LOC16,None,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,,,,,4,0,8,0,,,,,,,,,,,['n'],0,[10.3561270236969],2017_May_09_1534,60.0694027724,connectNodes,001,,
