n2col,n4col,n3col,r4,n1col,r1,r2,rs,r3,re,n5col,n1,n2,n3,n4,n5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,corrAns,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,7.03680300713,,,,,,,,,2017_May_09_1820,59.9746620414,connectNodes,001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.637115955353,,,,,,,2017_May_09_1820,59.9746620414,connectNodes,001,,
blue,red,green,d,blue,a,b,LOC21,c,LOC9,red,LOC22,LOC23,LOC24,LOC19,LOC14,0,0,0,0,,,,,,,,,,"['a', 'a', 'a', 'a']","[1.0701830387115479, 1.3504350185394287, 1.603729009628296, 1.8705220222473145]",1,0,0,0,2017_May_09_1820,59.9746620414,connectNodes,001,,
yellow,green,blue,d,red,a,b,LOC21,c,LOC3,red,LOC16,LOC11,LOC12,LOC13,LOC8,0,1,1,1,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.21948480606079102, 0.4374728202819824, 0.7379469871520996, 1.020617961883545]",1,0,0,0,2017_May_09_1820,59.9746620414,connectNodes,001,,
red,blue,yellow,d,red,a,b,LOC22,c,LOC10,blue,LOC17,LOC12,LOC7,LOC8,LOC9,0,2,2,2,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23708200454711914, 0.5042150020599365, 0.820612907409668, 1.1008050441741943]",1,0,0,0,2017_May_09_1820,59.9746620414,connectNodes,001,,
yellow,yellow,green,d,green,a,b,LOC16,c,LOC10,blue,LOC17,LOC12,LOC13,LOC8,LOC9,0,3,3,3,,,,,,,,,,"['a', 'a', 'a', 'a']","[0.23747491836547852, 0.5007550716400146, 0.8005540370941162, 1.1536600589752197]",1,0,0,0,2017_May_09_1820,59.9746620414,connectNodes,001,,
