r4,n1col,n2col,n4col,r2,rs,r3,n3col,re,n1,n2,n3,n4,r1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_res2.keys,key_res2.rt,resp1.keys,resp1.rt,corrAnsw1,corrAnsw2,corrAnsw3,corrAnsw4,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,4.91296005249,,,,,,,2017_May_08_1113,60.0204060314,connectNodes,001,,
d,green,green,yellow,b,LOC21,c,blue,LOC8,LOC22,LOC23,LOC18,LOC13,a,0,0,0,2,,,"['a', 'a', 'a', 'a']","[5.251617908477783, 5.62185001373291, 5.955193996429443, 6.388407945632935]",1,0,0,0,2017_May_08_1113,60.0204060314,connectNodes,001,,
d,red,blue,yellow,b,LOC5,c,blue,LOC12,LOC10,LOC15,LOC14,LOC13,a,0,1,1,0,,,"['a', 'a', 'a', 'a']","[0.3712148666381836, 0.6708569526672363, 0.8873817920684814, 1.3542227745056152]",1,0,0,0,2017_May_08_1113,60.0204060314,connectNodes,001,,
d,red,red,blue,b,LOC11,c,red,LOC20,LOC12,LOC13,LOC18,LOC19,a,0,2,2,1,,,"['a', 'a', 'a', 'a']","[0.4006669521331787, 0.7705819606781006, 1.170792818069458, 1.5541839599609375]",1,0,0,0,2017_May_08_1113,60.0204060314,connectNodes,001,,
